,States and selected areas:  Employment status,"of the civilian noninstitutional population, January 1976 to date,"
352,"Tennessee ...................     3,110,000","1,851,184      59.5     1,743,304      56.1      107,880      5.8"
353,"Texas .......................     8,948,000","5,714,998      63.9     5,381,718      60.1      333,280      5.8"
354,"Utah ........................       835,000","525,864      63.0       496,755      59.5       29,109      5.5"
355,"Vermont .....................       342,000","216,002      63.2       197,661      57.8       18,341      8.5"
356,"Virginia ....................     3,575,000","2,339,651      65.4     2,204,049      61.7      135,602      5.8"
357,"Washington ..................     2,630,000","1,604,708      61.0     1,464,167      55.7      140,541      8.8"
358,"West Virginia ...............     1,366,000","698,539      51.1       645,282      47.2       53,257      7.6"
359,"Wisconsin ...................     3,263,000","2,140,193      65.6     2,024,313      62.0      115,880      5.4"
360,"Wyoming .....................       275,000","179,296      65.2       172,109      62.6        7,187      4.0"
361,,
362,,
363,,July 1976
364,,
365,,
366,"Alabama .....................     2,636,000","1,497,488      56.8     1,398,508      53.1       98,980      6.6"
367,"Alaska ......................       242,000","165,354      68.3       153,206      63.3       12,148      7.3"
368,"Arizona .....................     1,652,000","988,887      59.9       895,746      54.2       93,141      9.4"
369,"Arkansas ....................     1,545,000","891,219      57.7       830,028      53.7       61,191      6.9"
370,"California ..................    15,841,000","9,912,233      62.6     9,021,152      56.9      891,081      9.0"
371,"Los Angeles County .......     5,330,000","3,400,753      63.8     3,104,324      58.2      296,429      8.7"
372,"Colorado ....................     1,859,000","1,235,853      66.5     1,164,288      62.6       71,565      5.8"
373,"Connecticut .................     2,261,000","1,462,313      64.7     1,325,601      58.6      136,712      9.3"
374,"Delaware ....................       421,000","265,027      63.0       240,614      57.2       24,413      9.2"
375,"District of Columbia ........       517,000","334,066      64.6       304,814      59.0       29,252      8.8"
376,"Florida .....................     6,514,000","3,605,780      55.4     3,288,271      50.5      317,509      8.8"
377,"Georgia .....................     3,559,000","2,276,334      64.0     2,095,905      58.9      180,429      7.9"
378,"Hawaii ......................       593,000","410,576      69.2       372,349      62.8       38,227      9.3"
379,"Idaho .......................       590,000","374,265      63.4       353,139      59.9       21,126      5.6"
380,"Illinois ....................     8,183,000","5,154,904      63.0     4,815,656      58.8      339,248      6.6"
381,"Indiana .....................     3,814,000","2,441,098      64.0     2,302,543      60.4      138,555      5.7"
382,"Iowa ........................     2,084,000","1,339,836      64.3     1,288,246      61.8       51,590      3.9"
383,"Kansas ......................     1,649,000","1,073,420      65.1     1,028,649      62.4       44,771      4.2"
384,"Kentucky ....................     2,490,000","1,494,595      60.0     1,414,170      56.8       80,425      5.4"
385,"Louisiana ...................     2,712,000","1,533,265      56.5     1,426,892      52.6      106,373      6.9"
386,"Maine .......................       774,000","477,028      61.6       436,637      56.4       40,391      8.5"
387,"Maryland ....................     2,979,000","1,917,430      64.4     1,788,622      60.0      128,808      6.7"
388,"Massachusetts ...............     4,213,000","2,723,542      64.6     2,467,055      58.6      256,487      9.4"
389,"Michigan ....................     6,454,000","4,007,046      62.1     3,637,730      56.4      369,316      9.2"
390,"Minnesota ...................     2,815,000","1,853,353      65.8     1,749,692      62.2      103,661      5.6"
391,"Mississippi .................     1,659,000","972,883      58.6       912,384      55.0       60,499      6.2"
392,"Missouri ....................     3,489,000","2,132,641      61.1     2,000,098      57.3      132,543      6.2"
393,"Montana .....................       537,000","328,695      61.2       309,084      57.6       19,611      6.0"
394,"Nebraska ....................     1,102,000","718,924      65.2       696,607      63.2       22,317      3.1"
395,"Nevada ......................       464,000","330,705      71.3       302,176      65.1       28,529      8.6"
396,"New Hampshire ...............       602,000","398,797      66.2       373,163      62.0       25,634      6.4"
397,"New Jersey ..................     5,385,000","3,318,401      61.6     2,972,413      55.2      345,988     10.4"
398,"New Mexico ..................       810,000","482,648      59.6       439,924      54.3       42,724      8.9"
399,"New York ....................    13,230,000","7,714,711      58.3     6,928,065      52.4      786,646     10.2"
400,"New York city ............     5,683,000","3,109,451      54.7     2,762,946      48.6      346,505     11.1"
401,"North Carolina ..............     3,940,000","2,616,425      66.4     2,462,323      62.5      154,102      5.9"
402,"North Dakota ................       447,000","279,594      62.5       269,074      60.2       10,520      3.8"
403,"Ohio ........................     7,731,000","4,749,372      61.4     4,388,313      56.8      361,059      7.6"
404,"Oklahoma ....................     2,023,000","1,187,467      58.7     1,120,145      55.4       67,322      5.7"
405,"Oregon ......................     1,740,000","1,087,537      62.5       989,212      56.9       98,325      9.0"
406,"Pennsylvania ................     8,810,000","5,130,996      58.2     4,724,714      53.6      406,282      7.9"
407,"Rhode Island ................       696,000","437,006      62.8       401,730      57.7       35,276      8.1"
408,"South Carolina ..............     2,009,000","1,294,202      64.4     1,204,370      59.9       89,832      6.9"
409,"South Dakota ................       481,000","309,365      64.3       299,746      62.3        9,619      3.1"
410,"Tennessee ...................     3,116,000","1,865,156      59.9     1,755,158      56.3      109,998      5.9"
411,"Texas .......................     8,974,000","5,739,119      64.0     5,407,584      60.3      331,535      5.8"
412,"Utah ........................       837,000","528,720      63.2       499,743      59.7       28,977      5.5"
413,"Vermont .....................       343,000","216,844      63.2       198,770      58.0       18,074      8.3"
414,"Virginia ....................     3,583,000","2,343,598      65.4     2,207,139      61.6      136,459      5.8"
415,"Washington ..................     2,636,000","1,618,080      61.4     1,474,961      56.0      143,119      8.8"
416,"West Virginia ...............     1,369,000","695,860      50.8       644,584      47.1       51,276      7.4"
417,"Wisconsin ...................     3,267,000","2,146,728      65.7     2,031,358      62.2      115,370      5.4"
418,"Wyoming .....................       276,000","180,577      65.4       173,470      62.9        7,107      3.9"
419,,
420,,
421,,August 1976
422,,
423,,
424,"Alabama .....................     2,641,000","1,502,397      56.9     1,400,824      53.0      101,573      6.8"
425,"Alaska ......................       243,000","166,528      68.5       153,864      63.3       12,664      7.6"
426,"Arizona .....................     1,658,000","993,223      59.9       900,283      54.3       92,940      9.4"
427,"Arkansas ....................     1,548,000","894,719      57.8       834,576      53.9       60,143      6.7"
428,"California ..................    15,879,000","9,950,583      62.7     9,044,297      57.0      906,286      9.1"
429,"Los Angeles County .......     5,335,000","3,406,205      63.8     3,105,108      58.2      301,097      8.8"
430,"Colorado ....................     1,865,000","1,240,888      66.5     1,166,968      62.6       73,920      6.0"
431,"Connecticut .................     2,263,000","1,465,194      64.7     1,330,591      58.8      134,603      9.2"
